,,Proliferation group,,,,
Probe Set ID,Gene Symbol,Gene name,Chromosome,Log2 Fold Change (FL-HSC vs Adult HSC)*,Day of max (TOM),p-value of ANOVA (time course)
100066_at,Gart,phosphoribosylglycinamide formyltransferase,chr16 ,1.415,2,0.007
100574_f_at,Gpi1,glucose phosphate isomerase 1,chr7 ,0.171,2,0.041
100753_at,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1",---,-0.077,2,0.029
101042_f_at,Pep4,peptidase 4,---,0.494,2,0.003
101461_f_at,Pja1,"praja1, RING-H2 motif containing",chrX ,0.613,2,0.034
101466_at,Pigf,"phosphatidylinositol glycan, class F",chr17 ,0.537,2,0.006
101518_at,0610009H04Rik,RIKEN cDNA 0610009H04 gene,chr11 ,0.157,2,0.019
101959_r_at,Tfdp1,transcription factor Dp 1,chr8 ,1.111,2,0.004
101984_at,Atox1,ATX1 (antioxidant protein 1) homolog 1 (yeast),chr11 ,0.652,2,0.025
102124_f_at,Cox4i1,cytochrome c oxidase subunit IV isoform 1,chr8 ,0.279,2,0.035
102649_s_at,Raet1c,retinoic acid early transcript gamma,---,0.219,2,0.038
103057_at,Pold1,"polymerase (DNA directed), delta 1, catalytic subunit",chr7 ,3.176,2,0.034
103377_at,Lrp2,low density lipoprotein receptor-related protein 2,chr2 ,0.013,2,0.037
103862_r_at,D7Wsu128e,"DNA segment, Chr 7, Wayne State University 128, expressed",chr7 ,-0.099,2,0.042
103873_i_at,2310015N07Rik,RIKEN cDNA 2310015N07 gene,---,0.684,2,0.022
103874_r_at,2310015N07Rik,RIKEN cDNA 2310015N07 gene,---,0.141,2,0.016
104089_at,2810026P18Rik,RIKEN cDNA 2810026P18 gene,chr9 ,0.457,2,0.023
104303_i_at,1500004O14Rik,RIKEN cDNA 1500004O14 gene,chr2 ,1.473,2,0.007
104304_r_at,1500004O14Rik,RIKEN cDNA 1500004O14 gene,---,0.905,2,0.011
104305_at,Rarsl,arginyl-tRNA synthetase-like,chr4 ,2.295,2,0.005
104343_f_at,Pla2g12,"phospholipase A2, group XII",chr3 ,0.319,2,0.003
104662_at,Tnfrsf18,"tumor necrosis factor receptor superfamily, member 18",chr4 ,-0.049,2,0.002
160291_at,Sec61a1,Sec61 alpha 1 subunit (S. cerevisiae),chr6 ,-0.097,2,0.007
160341_at,Jtv1-pending,JTV1 gene,chr5 ,2.15,2,0.033
160633_at,Refbp1,RNA and export factor binding protein 1,---,0.652,2,0.028
160803_at,D0H8S2298E,"DNA segment, Human S2298E",chr8 ,-0.598,2,0.002
161386_f_at,Ddx1,DEAD (Asp-Glu-Ala-Asp) box polypeptide 1,---,0.123,2,0.048
161400_f_at,NoneAvailable,---,---,0.17,2,0.002
161466_r_at,Asb3,ankyrin repeat and SOCS box-containing protein 3,---,0.163,2,0.046
161635_f_at,1110008H02Rik,RIKEN cDNA 1110008H02 gene,chr1 ,0.113,2,0.019
161703_f_at,NoneAvailable,---,---,0.175,2,0
162131_f_at,NoneAvailable,Mus musculus transcribed sequence,---,0.274,2,0.026
162301_f_at,2310016M24Rik,RIKEN cDNA 2310016M24 gene,chr15 ,-0.1,2,0.011
92633_at,Ctsz,cathepsin Z,chr2 ,0.866,2,0.003
92794_f_at,Nme1,"expressed in non-metastatic cells 1, protein",chr11 ,2.156,2,0
92810_at,Pdk3,"pyruvate dehydrogenase kinase, isoenzyme 3",chrX ,-0.996,2,0.017
93038_f_at,Anxa1,annexin A1,chr19 ,0.074,2,0
93070_at,Kpnb3,karyopherin (importin) beta 3,chr14 ,0.784,2,0.004
93352_at,Tgm2,"transglutaminase 2, C polypeptide",---,-0.153,2,0.034
93529_at,2310047C21Rik,RIKEN cDNA 2310047C21 gene,chr8 ,0.295,2,0.013
93740_at,Nsep1,nuclease sensitive element binding protein 1,---,0.564,2,0.038
93822_at,Rpl37a,ribosomal protein L37a,---,0.979,2,0.019
93968_at,Pdcd5,programmed cell death 5,chr7 ,0.125,2,0.024
94450_at,D13Wsu123e,"DNA segment, Chr 13, Wayne State University 123, expressed",chr13 ,1.019,2,0.014
95034_f_at,Ipo4,importin 4,chr14 ,-0.595,2,0.002
95709_at,D7Wsu86e,"DNA segment, Chr 7, Wayne State University 86, expressed",chr7 ,-0.199,2,0.025
95755_at,Csda,cold shock domain protein A,---,0.101,2,0.02
96042_at,Sod2,"superoxide dismutase 2, mitochondrial",chr17 ,0.163,2,0.002
96827_at,Cad,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",chr5 ,1.06,2,0.014
96855_at,5730406I15Rik,RIKEN cDNA 5730406I15 gene,---,0.755,2,0.018
97272_at,Hnrpa1,heterogeneous nuclear ribonucleoprotein A1,---,0.019,2,0.041
97496_f_at,6330514M23Rik,RIKEN cDNA 6330514M23 gene,chr7 ,-1.202,2,0.002
98099_at,Nudt9,nudix (nucleoside diphosphate linked moiety X)-type motif 9,---,0.494,2,0.048
98127_at,Capza2,"capping protein (actin filament) muscle Z-line, alpha 2",chr6 ,-1.156,2,0.03
98573_r_at,Ranbp1,RAN binding protein 1,chr16 ,1.404,2,0.046
99158_at,Sh3d3,SH3 domain protein 3,chr19 ,1.284,2,0.048
100062_at,Mcm3,minichromosome maintenance deficient 3 (S. cerevisiae),chr1 ,1.792,3,0.005
100225_f_at,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3",chr2 ,0.602,3,0.01
